首字母,等级,歌名,歌手,类型,技能,爆点,bar,box,开头描述,结尾描述,分数,指数
,,"当你","林俊杰",非押爆,爆气,481,69,12,B - 三轨长条中间,B - 二轨长条结尾、三轨单点,1410133,39 + 0.0
,,"当你","林俊杰",非押爆,爆气,483,69,15,B - 三轨长条右滑,B - 二轨长条结尾、三轨单点,1408542,39 - 0.3
,,"当你","林俊杰",非押爆,爆气,466,68,20,B - 二轨长条中间,B - 二轨长条中间、三轨单点,1406420,38 + 0.3
,,"当你","林俊杰",非押爆,爆气,468,68,23,B - 二轨长条左滑,B - 二轨长条中间,1406420,38 + 0.3
,,"当你","林俊杰",非押爆,爆气,471,68,28,B - 一轨长条中间,B - 二轨长条中间、三轨单点,1406420,38 + 0.3
,,"当你","林俊杰",非押爆,爆气,473,68,31,B - 一轨长条结尾、四轨长条开始,B - 二轨长条中间,1406420,38 + 0.3
,,"当你","林俊杰",押爆,爆气,478,69,8,B - 四轨长条左滑,B - 二轨长条结尾、三轨单点,1418619,41 - 0.4
,,"当你","林俊杰",押爆,爆气,468,68,24,B - 二轨长条左滑,B - 二轨长条中间、三轨单点,1414906,40 - 0.1
,,"当你","林俊杰",押爆,爆气,473,69,0,B - 一轨长条结尾、四轨长条开始,B - 二轨长条中间、四三轨滑键,1414906,40 - 0.1
,,"当你","林俊杰",超极限,爆气,478,69,7,B - 四轨长条左滑,B - 二轨长条结尾、三轨单点,1420210,41 - 0.1
,,"当你","林俊杰",超极限,爆气,468,68,23,B - 二轨长条左滑,B - 二轨长条中间、三轨单点,1416497,40 + 0.2
,,"当你","林俊杰",超极限,爆气,473,68,31,B - 一轨长条结尾、四轨长条开始,B - 二轨长条中间、四三轨滑键,1416497,40 + 0.2
H,6,"Here With You","Asher Book",非押爆,爆气,429,78,0,B - 一轨单点、四轨单点,B - 二轨长条中间、三轨长条中间,1209784,38 - 0.5
H,6,"Here With You","Asher Book",非押爆,爆气,428,77,28,B - 三轨单点,B - 一轨长条右滑、四轨长条左滑,1208724,37 + 0.3
H,6,"Here With You","Asher Book",非押爆,爆气,429,77,30,B - 一轨单点、四轨单点,B - 二轨长条中间、三轨长条中间,1206602,37 - 0.1
H,6,"Here With You","Asher Book",非押爆,爆气,431,78,4,B - 四轨单点,B - 二轨长条结尾、三轨长条结尾,1205540,37 - 0.3
H,6,"Here With You","Asher Book",押爆,爆气,429,78,0,B - 一轨单点、四轨单点,B - 二轨长条结尾、三轨长条结尾,1216148,39 - 0.3
H,6,"Here With You","Asher Book",押爆,爆气,428,77,28,B - 三轨单点,B - 二轨长条中间、三轨长条中间,1215088,39 - 0.5
H,6,"Here With You","Asher Book",押爆,爆气,427,77,24,B - 一轨单点,B - 一轨长条右滑、四轨长条左滑,1214028,38 + 0.3
H,6,"Here With You","Asher Book",押爆,爆气,429,77,30,B - 一轨单点、四轨单点,B - 二轨长条中间、三轨长条中间,1212966,38 + 0.1
H,6,"Here With You","Asher Book",押爆,爆气,428,77,26,B - 三轨单点,B - 二轨长条中间、三轨长条中间,1211906,38 - 0.1
H,6,"Here With You","Asher Book",超极限,爆气,429,77,31,B - 三轨单点（cool）、一轨单点、四轨单点,B - 二轨长条结尾、三轨长条结尾,1216268,40 - 0.3
H,6,"Here With You","Asher Book",超极限,爆气,428,77,27,B - 一轨单点（cool）、三轨单点,B - 二轨长条中间、三轨长条中间,1215208,40 - 0.5
H,6,"Here With You","Asher Book",超极限,爆气,428,77,28,B - 一轨单点（cool）、三轨单点,B - 二轨长条中间、三轨长条中间,1215208,40 - 0.5
H,6,"Here With You","Asher Book",超极限,爆气,427,77,23,B - 一轨单点,B - 一轨长条右滑、四轨长条左滑,1214028,38 + 0.3
H,6,"Here With You","Asher Book",超极限,爆气,429,77,29,B - 三轨单点（cool）、一轨单点、四轨单点,B - 二轨长条中间、三轨长条中间,1213086,39 + 0.1
H,6,"Here With You","Asher Book",超极限,爆气,429,77,30,B - 三轨单点（cool）、一轨单点、四轨单点,B - 二轨长条中间、三轨长条中间,1213086,39 + 0.1
